"","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics"
"28","2","Spain","Amaia & Alfred","""Tu canción""","Spanish","23","61",2018,"  Nunca llegué a imaginar Que viajar a la luna sería real Lo pones todo al revés Cuando besas mi frente y descubro por qué Ya no puedo inventarlo Siento que bailo por primera vez Eres el arte que endulza la piel De mi mente viajera que sigue tus pies Siento que bailo por primera vez junto a ti Sé que en ti puedo encontrar Esa voz que me abriga si el tiempo va mal Todo es perfecto si estás A mi lado creando una nueva ciudad Siento que bailo por primera vez Eres el arte que endulza la piel De mi mente viajera que sigue tus pies Siento que bailo por primera vez Ya no puedo inventarlo Solo quiero Tu canción, oh, oh, oh Oh, oh, oh, oh Siento que bailo por primera vez Eres el arte que endulza la piel De mi mente viajera que sigue tus pies Siento que bailo por primera vez junto a ti "
"29","3","Slovenia","Lea Sirk","""Hvala, ne!""","Slovene","22","64",2018,"  Moje ime je Lea in Za vas imam nov lik Lik nasmeha in svobode Kot najbolj virtualen trik En korak do zmage En korak do luči Do popolnosti Borim se z nasmehom do sonca Borim se za ljudi Pot do resnice Me zaslepi Ljubezen tista prva Pride, da preslepi Jaz pa si vzamem Kar telo osvobodi Ne verjemi v vse kar ponujeno ti je Misli na glas in upaj Da skrivnost je v tem Ne prodajaj se vsem To je najbolj passé Hvala, ne, ne!  Hvala, ne Hvala, ne, ne Hvala, hvala, ne Milijon ljudi je že reklo Da nas preveč živi Tistih, ki so nesrečni In brez luči En nasmeh za srečo En nasmeh za ljudi Za tiste, polne skrbi Svoje duše ne dam nikomur Držim jo za se Prava umetnost Brez-brez cene Vsak odgovor je v meni Najdem ga, kadar zaspim Ko telo je sproščeno Predano za vse Ne verjemi v vse Kar ponujeno ti je Misli na glas in upaj Da skrivnost je v tem Ne prodajaj se vsem To je najbolj passé Ne verjemi v vse Kar ponujeno ti je Misli na glas in upaj Da skrivnost je v tem Ne prodajaj se vsem To je najbolj passé Hvala, ne, ne!  Hvala, ne Hvala, ne, ne Hvala, hvala, ne Kot lutka za ljudi Ki se skrivajo za maskami Enaki, popolni, a nezadovoljni Hvala, ne, ne, ne!  Ne verjemi v vse Kar ponujeno ti je Misli na glas in upaj Da skrivnost je v tem Ne prodajaj se vsem To je najbolj passé Agora não! * Obrigado não!  *Portuguese = Not now!  No thanks!  "
"30","4","Lithuania","Ieva Zasimauskaitė","""When We're Old""","English","12","181",2018,"  I know I'll never forget that day when first time we met We've come a long way since then and I would do It all again From your very first smile I knew that I'd walk a mile See it's for real when you know you never want to let go These are the reasons I want you to know  ( oh oh oh )  You make this place feel like home These are the reasons I can't let you go  ( oh oh oh )  Let's sing this song that we wrote When we're old  ( oh oh oh )  When we're old  ( oh oh oh )  No matter what comes our way I feel like you're here to stay You were there right from the start and let me inside your heart After all this time, I hate the sound of goodbye And if you leave I would… These are the reasons I want you to know  ( oh oh oh )  You make this place feel like home These are the reasons I can't let you go  ( oh oh oh )  Let's sing this song that we wrote When we're old  ( oh oh oh )  When we're old  ( oh oh oh )  Right from our very first kiss I knew it'll end up like this I'm not afraid to grow old if I have your hand to hold "
"31","5","Austria","Cesár Sampson","""Nobody but You""","English","3","342",2018," Lord I'm gonna get so high tonight I'm gonna let the floodgates open wide I'm in open water This is what I need And though I try to get you off my mind And I get no sleep I'm in too deep I can't let you leave It wouldn't be right letting you go running away from love Ain't nobody but you I can hold onto So am I wrong giving my all making you stay tonight?  Ain't nobody but you I can hold onto Lord, I'm gonna bring you back tonight Oh you're running circles round my mind After your words have been my bible How could I search for someone new?  When I really want you by my side And I get no sleep I'm in too deep I can't let you leave It wouldn't be right letting you go running away from love Ain't nobody but you I can hold onto So am I wrong giving my all making you stay tonight?  Ain't nobody but you I can hold onto Don't make me tear my heart out I'm shaking till I fall down Don't make me tear my heart out Don't make me tear my heart out I'm shaking till I fall down Don't make me tear my heart out It wouldn't be right letting you go running away Ain't nobody but you I can hold onto So am I wrong giving my all making you stay tonight?  Ain't nobody but you I can hold onto It wouldn't be right letting you go running away from love Ain't nobody but you I can hold onto Ain't nobody but you "
"32","6","Estonia","Elina Nechayeva","""La forza""","Italian","8","245",2018,"  Sai nella notte per me Una stella c'è Lei mi rischiara la via Per l'eternità È mia guida Nell'immensità Che non mi lascia mai  La forza del destino Volteggiar mi fa L'ora è vicina di felicità È sogno o realtà Nostra affinità Sull'ali dell'amore rosee  Quando m'en vo per la via Sempre libera Vorrei che intorno a noi sia una favola Nostro amore Guida a noi sarà Nell'infinito Per l'eternità  La forza del destino Volteggiar mi fa L'ora è vicina di felicità È sogno o realtà Nostra affinità Sull'ali dell'amore rosee "
"33","7","Norway","Alexander Rybak","""That's How You Write a Song""","English","15","144",2018," If you got a minute Get down your idea It might do wonders Maybe disappear Who knows Just get it down and nothing can go wrong Go find your rhythm That's how you write a song Enjoy the small things with time they will get big Gotta find your mission A mission to pursue You know you got a talent, what ever it may be So work your magic And sing along with me Step one Believe in it and sing it all day long Step two Just roll with it That's how you write a song Sing: Shoo-bee-doo-bee dab dab   ( Shoo-bee-doo-bee dab dab )  Sha-ba-da-da hey   ( Sha-ba-da-da hey )  Say: All day long  ( All day long )  And that's how you write a song Scoo-bee-doo-bee bap bap   ( Scoo-bee-doo-bee bap bap )  Boogie boogie woogie   ( Boogie boogie woogie )  Say: All day long  ( All day long )  See, that's how you write a song Step one Believe in it and sing it all day long Step two Just roll with it That's how you write a song Step one Believe in it and sing it all day long Step two Just roll with it.  That's how you write a song Step one Believe in it and sing it all day long Step two Just roll with it.  That's how you write a song Step one Believe in it and sing it all day long Step two Just roll with it That's how you write a song Step one Believe in it and sing it all day long Step two Just roll with it and that's how you write a song See that`s how you write a song and That's how you write a song "
"34","8","Portugal","Cláudia Pascoal[h]","""O jardim""","Portuguese","26","39",2018,"  Eu nunca te quis Menos do que tudo Sempre, meu amor Se no céu também és feliz Leva-me eu cuido Sempre, ao teu redor São as flores o meu lugar Agora que não estás Rego eu o teu jardim São as flores o meu lugar Agora que não estás Rego eu o teu jardim Eu já prometi Que um dia mudo Ou tento, ser maior Se do céu também és feliz Leva-me eu juro Sempre, pelo teu valor São as flores o meu lugar Agora que não estás Rego eu o teu jardim São as flores o meu lugar Agora que não estás Rego eu o teu jardim Agora que não estás, rego eu o teu jardim Agora que não estás, rego eu o teu jardim Agora que não estás Agora que não estás, rego eu o teu jardim "
"35","9","United Kingdom","SuRie","""Storm""","English","24","48",2018,"Hey, hey brother Do you remember when we were kids with no fear?  Hey, hey sister Do you believe in the things we dreamt we'd discover?   I still have faith I still believe in chasing rainbows  Storms don't last forever, forever, remember We can hold our hands together Through this storm, through this storm Storms don't last forever, forever, remember We can hold our hands together Through this storm, through this storm  Hey, hey mother Am I making you proud or could I do better?  Hey, hey father There's weight on my shoulders but it's not over  I still have faith I still believe in chasing rainbows  Storms don't last forever, forever, remember We can hold our hands together Through this storm, through this storm Storms don't last forever, forever, remember We can hold our hands together Through this storm, through this storm  Spread your love, give all you got Hold your head up, don't give up, no no Hey, hey brother, don't give up  Storms don't last forever, forever, remember We can hold our hands together Through this storm, through this storm  Spread your love, give all you got Hold your head up, don't give up, no no Spread your love, give all you got Hold your head up, through this storm"
"36","10","Serbia","Sanja Ilić & Balkanika","""Nova deca"" (Нова деца)","Serbian","19","113",2018,"  Aj, da ja danem I da zaštu sum te mila A što ne gi dadne, eh Na na na Svet je naš i vreme prestaje da žuri kad si sa mnom ti  Svet je naš i s'osmehom se budim zato što postojiš ti  Sve je jasnije sunce sija drugačije  Svet je naš i nova deca s' nama stvaraju bolji svet Aj, da ja danem I da A što ne gi dadne, eh Bolji svet Svet je naš i vreme prestaje da žuri kad si sa mnom ti  Svet je naš i s'osmehom se budim zato što postojiš ti  Sve je jasnije sunce sija drugačije  Svet je naš i nova deca s' nama stvaraju bolji svet Na na na na na na ne Na na ne, na na, ah ah Na na ne, na na ne Na na ne, na na ne Sve je jasnije sunce sija drugačije  Svet je naš i nova deca s' nama stvaraju bolji svet "
"37","11","Germany","Michael Schulte","""You Let Me Walk Alone""","English","4","340",2018," I'm a dreamer, a make believer I was told that you were, too I love the silence and the clear horizon And I got that all from you Every now and then I'm drawn to places Where I hear your voice or see your face And every little thought will lead me right back to you I was born from one love Of two hearts We were three kids and a loving mum You made this place a home A shelter from the storm You said I had one life And a true heart I tried my best And I came so far But you will never know 'Cause you let me walk this road alone My childhood hero will always be you And no one else comes close I thought you'd lead me When life's misleading That's when I miss you most  Every now and then I'm drawn to places Where I hear your voice or see your face  And every little thought will lead me right back to you I was born from one love Of two hearts We were three kids and a loving mum You made this place a home A shelter from the storm You said I had one life And a true heart I tried my best And I came so far But you will never know 'Cause you let me walk this road alone Ohhhh, ohhhh, ohhhh I was born from one love Of two hearts We were three kids and a loving mum You made this place a home A shelter from the storm You said I had one life And a true heart I tried my best And I came so far But you will never know 'Cause you let me walk this road alone "
